Date,Price,Open,High,Low,Vol.,Change %,Volume
3/23/2023,0.077387,0.073843,0.078919,0.072986,2.18B,4.79%,2180000000
3/22/2023,0.073851,0.076685,0.077821,0.071648,2.53B,-3.70%,2530000000
3/21/2023,0.076685,0.071342,0.077779,0.070404,1.97B,7.49%,1970000000
3/20/2023,0.071345,0.074541,0.075558,0.070528,1.37B,-4.19%,1370000000
3/19/2023,0.074462,0.072959,0.076498,0.072959,1.04B,2.06%,1040000000
3/18/2023,0.072959,0.076443,0.078775,0.072531,1.91B,-4.53%,1910000000
3/17/2023,0.076421,0.072588,0.077228,0.071528,1.66B,5.31%,1660000000
3/16/2023,0.072567,0.069681,0.074004,0.068919,1.25B,4.14%,1250000000
3/15/2023,0.069682,0.07464,0.075918,0.067488,1.91B,-6.67%,1910000000
3/14/2023,0.074665,0.072862,0.07755,0.071217,2.05B,2.47%,2050000000
3/13/2023,0.072862,0.070603,0.073532,0.068274,1.75B,3.22%,1750000000
3/12/2023,0.070587,0.066185,0.070816,0.065486,1.25B,6.65%,1250000000
